username|date|retweets|favorites|text|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
NBCNews|2017-09-20 20:30:12|80|66|'Hurricane Maria barreled through the Caribbean on a destructive path similar to  Irma ''s earlier. See more:  http://nbcnews.to/2fBSxpv   pic.twitter.com/py7c5K5ATC'|false|910662411669114880|/NBCNews/status/910662411669114880||||
NBCNews|2017-09-19 21:30:09|58|76|'Caribbean  Irma  survivors fear Hurricane Maria''s devastation  http://nbcnews.to/2xP5AP4   pic.twitter.com/DJekY9R7GV'|false|910315109272219648|/NBCNews/status/910315109272219648||||
NBCNews|2017-09-10 16:00:19|25|40|At FEMA, VP Pence encourages people to heed warnings as  Irma  hits Florida coast  http://nbcnews.to/2xeMikY   pic.twitter.com/dV5cPtTKGP|false|906970612001906690|/NBCNews/status/906970612001906690||||
NBCNews|2017-09-08 11:25:49|75|200|WATCH: President Trump shares message on Hurricane  Irma : "We will endure and come back stronger than ever before"  pic.twitter.com/QQIa2ZnjKt|false|906176757752934400|/NBCNews/status/906176757752934400||||
NBCNews|2017-09-06 13:13:22|153|127|JUST IN: South Carolina governor declares state of emergency to prepare for Hurricane  Irma   pic.twitter.com/IKGAlcgXOU|false|905479047244906497|/NBCNews/status/905479047244906497||||
NBCNews|2017-09-10 18:20:48|249|295|Video shows strong wind and rain from Hurricane  Irma  hitting Marco Island in Florida    WeatherNation  pic.twitter.com/cHSYXAufVP|false|907005967350599681|/NBCNews/status/907005967350599681||||
NBCNews|2017-09-17 23:35:35|101|104|Still reeling from  Irma , the Caribbean digs in for Hurricane Maria  http://nbcnews.to/2xJn8w6   pic.twitter.com/ywS2fiQtN9|false|909621897717075968|/NBCNews/status/909621897717075968||||
NBCNews|2017-09-08 10:52:36|22|34|Trump Organization spokesperson says Trump properties in Fla. "are taking all of the proper precautions" ahead of  Irma , per @HallieJackson pic.twitter.com/54kzFcoSbv|false|906168399029575681|/NBCNews/status/906168399029575681||||
NBCNews|2017-09-11 19:25:31|743|2570|WATCH: Police officer stops and picks up an American flag in middle of the road during  Irma  relief efforts __NEWLINE____NEWLINE__(Via Coral Springs police)  pic.twitter.com/EB4DyUJym4|false|907384641136594945|/NBCNews/status/907384641136594945||||
NBCNews|2017-09-10 15:32:04|48|67|Elderly Miami residents shelter in place for Hurricane  Irma   http://nbcnews.to/2fbz5zx   pic.twitter.com/6ZNZMiIKpQ|false|906963502673416193|/NBCNews/status/906963502673416193||||
NBCNews|2017-09-06 14:06:48|225|213|Tropical Storm Jose is trailing  Irma  in the Atlantic  http://nbcnews.to/2wGO2D6   pic.twitter.com/TziKPQldH8|false|905492495768936448|/NBCNews/status/905492495768936448||||
NBCNews|2017-09-14 11:43:06|136|207|'JUST IN: Puerto Rico Gov. Ricardo Rossello says he''s been informed Trump will visit Puerto Rico to survey  Irma  damage and relief efforts  pic.twitter.com/lfO012uPWg'|false|908355434620358656|/NBCNews/status/908355434620358656||||
NBCNews|2017-09-15 23:17:03|134|131|Hurricane  Irma  had a greater economic impact than Harvey  http://nbcnews.to/2fq9PWA   pic.twitter.com/P6cFmfdIs0|false|908892459719118848|/NBCNews/status/908892459719118848||||
NBCNews|2017-09-05 15:37:26|641|409|'Puerto Rico Gov. Rosselló: "Hurricane  Irma ''s magnitude compares to no other weather system in the recorded history of Puerto Rico."  pic.twitter.com/SRmAybuSQQ'|false|905152914531995650|/NBCNews/status/905152914531995650||||
NBCNews|2017-09-10 05:04:16|77|65|NEW: Eye of  Irma  now 40 miles from Key West, Florida - Remains Category 4 storm.  pic.twitter.com/VatDHoq7WV|false|906805512657887233|/NBCNews/status/906805512657887233||||
NBCNews|2017-09-11 23:30:06|30|28|Watch: South Carolina hit by floods as  Irma  moves north  http://nbcnews.to/2ff4uRW  |false|907446193541849093|/NBCNews/status/907446193541849093||||
NBCNews|2017-09-04 17:17:43|5510|4260|JUST IN: Florida Gov. Rick Scott declares state of emergency to prepare for Category 4 Hurricane  Irma   pic.twitter.com/umKMcplDxa|false|904815764733120512|/NBCNews/status/904815764733120512||||
NBCNews|2017-09-08 02:30:18|136|100|First hurricane warnings have been issued as  Irma  sets its sights on Miami  http://nbcnews.to/2xRdCmK   pic.twitter.com/b1Gzc7Av29|false|906041990072082433|/NBCNews/status/906041990072082433||||
NBCNews|2017-09-05 11:41:46|183|175|JUST IN: Gov. Scott activates 100 Florida National Guard members to assist with Hurricane  Irma  preparedness  pic.twitter.com/Bg8YKTe4GE|false|905093605638975488|/NBCNews/status/905093605638975488||||
NBCNews|2017-09-09 11:52:02|69|103|"Leave now," Gov. Rick Scott warns as  Irma  lashes Florida Keys  http://nbcnews.to/2xd02wI   pic.twitter.com/XKMm7uafeP|false|906545744240414721|/NBCNews/status/906545744240414721||||
NBCNews|2017-09-07 11:03:02|63|39|LATEST: Hurricane  Irma  moves toward Turks and Caicos islands.__NEWLINE____NEWLINE__• Max winds at 175 mph__NEWLINE__• Storm Surge Watch issued for South Florida and Keys  pic.twitter.com/I3CfaswAQS|false|905808635741261825|/NBCNews/status/905808635741261825||||
NBCNews|2017-09-12 05:00:27|26|36|Florida sheriff sued over tough-on-crime approach to Hurricane  Irma   http://nbcnews.to/2xi9Plh   pic.twitter.com/Rd16IawlNq|false|907529329462140929|/NBCNews/status/907529329462140929||||
NBCNews|2017-09-06 18:05:07|184|176|As Hurricane  Irma  rampages through the Caribbean, two more hurricanes form  http://nbcnews.to/2wHokyo   pic.twitter.com/lLiyT3IQK4|false|905552469081587712|/NBCNews/status/905552469081587712||||
NBCNews|2017-09-09 11:43:53|88|129|UPDATE:  Irma  is now located about 175 miles southeast of Key West, according to a senior hurricane specialist at the NHC|false|906543691195699200|/NBCNews/status/906543691195699200||||
